position,jID,pID,tID,xID,role,visible,distance,distance_visible,distance_percent,high_speed,high_speed_visible,high_speed_percent,match_active,active_visible,inactive_visible,source,match
STZ,11,DFL-OBJ-0000NG,DFL-CLU-00000B,0,OFF,0.9617629629629629,11057.93057437349,10855.949609650725,0.9817342889463557,394.82862060995967,348.29224133958235,0.8821352433912096,0.5868666666666666,0.5736444444444444,0.38811851851851853,SF,DFL-MAT-0002UK
LV,18,DFL-OBJ-0002E2,DFL-CLU-00000B,1,DEF,0.9264,10955.445727966147,10611.155162692003,0.9685735684495914,483.7281783750866,460.48092205245985,0.9519414882946913,0.5868666666666666,0.5736666666666667,0.35273333333333334,SF,DFL-MAT-0002UK
RV,16,DFL-OBJ-0002E1,DFL-CLU-00000B,3,DEF,0.9406074074074074,10852.060560884052,10554.057355900102,0.972539481943356,379.51751280519187,369.23423138856015,0.9729043296562966,0.5868666666666666,0.5819703703703704,0.35863703703703703,SF,DFL-MAT-0002UK
IVL,5,DFL-OBJ-0001UL,DFL-CLU-00000B,4,DEF,0.9814296296296297,10183.036781158356,10017.876136856947,0.9837808064675749,427.52329014798704,423.9315403442282,0.991598703774675,0.5868666666666666,0.5858740740740741,0.39555555555555555,SF,DFL-MAT-0002UK
TW,1,DFL-OBJ-0000LF,DFL-CLU-00000B,8,GK,0.22062962962962962,4923.484818770132,1331.9156937514608,0.27052296143449234,0.0,0.0,,0.5868666666666666,0.12483703703703704,0.0957925925925926,SF,DFL-MAT-0002UK
IVR,21,DFL-OBJ-0000MZ,DFL-CLU-00000B,10,DEF,0.9837407407407407,9839.821513322511,9692.25274556589,0.9850029019777622,528.9594476654156,528.9594476654156,1.0,0.5868666666666666,0.5860518518518518,0.39768888888888887,SF,DFL-MAT-0002UK
DML,27,DFL-OBJ-0000NF,DFL-CLU-00000B,11,MID,0.9872666666666666,11743.74692851914,11637.909474905957,0.9909877610393526,328.73467020368906,312.99135640027663,0.9521093598260943,0.5868666666666666,0.5861333333333333,0.40113333333333334,SF,DFL-MAT-0002UK
ORM,38,DFL-OBJ-0000MW,DFL-CLU-00000B,12,OFF,0.9713259259259259,10997.529708279642,10760.272454078451,0.9784263138636881,513.3139271524319,491.7753425390855,0.9580401320244124,0.5868666666666666,0.578037037037037,0.3932888888888889,SF,DFL-MAT-0002UK
DMR,8,DFL-OBJ-0000MT,DFL-CLU-00000B,13,MID,0.9901111111111112,12837.644163522284,12734.333249750627,0.9919525021525981,450.2820308293871,447.83215599071156,0.994559243605251,0.5868666666666666,0.5848888888888889,0.4052222222222222,SF,DFL-MAT-0002UK
DML,34,DFL-OBJ-000179,DFL-CLU-000004,1,MID,0.9855703703703703,10625.217843262837,10539.189974124845,0.9919034253784698,151.35358089001517,140.25147899078462,0.926647907278136,0.5868666666666666,0.5851333333333333,0.40043703703703704,SF,DFL-MAT-0002UK
RV,27,DFL-OBJ-0000OG,DFL-CLU-000004,2,DEF,0.948474074074074,10011.546334782126,9768.925082074355,0.9757658562828745,272.7456793640686,272.7456793640686,1.0,0.5868666666666666,0.5822148148148149,0.3662592592592593,SF,DFL-MAT-0002UK
IVL,24,DFL-OBJ-0000OE,DFL-CLU-000004,4,DEF,0.9920518518518519,9632.849178987184,9549.449626761916,0.9913421719082665,213.40577983348135,213.40577983348135,1.0,0.5868666666666666,0.5862444444444445,0.4058074074074074,SF,DFL-MAT-0002UK
DMR,23,DFL-OBJ-00003L,DFL-CLU-000004,5,MID,0.9928222222222223,11509.430622993314,11450.728869299432,0.9948996822156773,176.19133512301508,172.31867192978726,0.9780201268664889,0.5868666666666666,0.5864296296296296,0.4063925925925926,SF,DFL-MAT-0002UK
RM,28,DFL-OBJ-0001FW,DFL-CLU-000004,10,MID,0.9852222222222222,11895.90142153826,11781.662034598368,0.9903967439799851,669.3343888258339,651.4207416466072,0.9732366251035579,0.5868666666666666,0.5851037037037037,0.40011851851851854,SF,DFL-MAT-0002UK
TW,1,DFL-OBJ-0002DR,DFL-CLU-000004,12,GK,0.48544444444444446,4948.352078593105,2369.269375055165,0.478799676624624,2.7862977144907473,2.7862977144907473,1.0,0.5868666666666666,0.27497037037037036,0.21047407407407406,SF,DFL-MAT-0002UK
LV,15,DFL-OBJ-000178,DFL-CLU-000004,13,DEF,0.9704296296296296,10200.267958608989,10034.376568814876,0.9837365655032522,351.79269998510375,345.465993323821,0.9820158102724967,0.5868666666666666,0.5839111111111112,0.38651851851851854,SF,DFL-MAT-0002UK
STR,10,DFL-OBJ-00008H,DFL-CLU-000004,15,OFF,0.9818814814814815,10346.835169924521,10195.649718381348,0.9853882420024793,482.5232466639409,469.7387495638516,0.9735049094764274,0.5868666666666666,0.5852962962962963,0.3965851851851852,SF,DFL-MAT-0002UK
IVR,4,DFL-OBJ-0000O5,DFL-CLU-000004,17,DEF,0.9922518518518518,9519.819042509764,9457.743602783117,0.9934793466714593,123.5546783703748,123.5546783703748,1.0,0.5868666666666666,0.5862444444444445,0.40600740740740743,SF,DFL-MAT-0002UK
RV,16,DFL-OBJ-0002E1,DFL-CLU-00000B,0,DEF,0.9412592592592592,10173.531378232063,9755.063419055114,0.9588669908590118,582.5754488209648,538.7452025224702,0.9247646868964361,0.44808888888888887,0.4434814814814815,0.49777777777777776,SF,DFL-MAT-0002YP
LV,17,DFL-OBJ-0000JN,DFL-CLU-00000B,1,DEF,0.9596370370370371,10466.4585262642,10147.131390921482,0.9694904313105137,494.33974905950646,467.7064218833258,0.946123435902431,0.44808888888888887,0.44575555555555557,0.5138814814814815,SF,DFL-MAT-0002YP
TW,1,DFL-OBJ-0000LF,DFL-CLU-00000B,4,GK,0.24834814814814815,4884.082464195928,1517.0193044077955,0.310604768762344,33.0252022853523,33.0252022853523,1.0,0.44808888888888887,0.12404444444444444,0.12430370370370371,SF,DFL-MAT-0002YP
DML,27,DFL-OBJ-0000NF,DFL-CLU-00000B,5,MID,0.9767777777777777,10222.25279701177,10021.068811000394,0.980319016756249,534.8904049066213,475.78635905099884,0.8895025124521714,0.44808888888888887,0.44693333333333335,0.5298444444444445,SF,DFL-MAT-0002YP
ORM,38,DFL-OBJ-0000MW,DFL-CLU-00000B,7,OFF,0.9721925925925926,10331.677862125272,10108.054481636364,0.9783555601061967,667.3642343667556,615.2717338916195,0.9219429244293182,0.44808888888888887,0.442162962962963,0.5300296296296296,SF,DFL-MAT-0002YP
IVR,21,DFL-OBJ-0000MZ,DFL-CLU-00000B,11,DEF,0.9668962962962963,9778.714208094352,9553.405310164773,0.9769592511719916,552.1552806462446,549.2823898039092,0.9947969512507913,0.44808888888888887,0.44708888888888887,0.5198074074074074,SF,DFL-MAT-0002YP
STZ,11,DFL-OBJ-0000NG,DFL-CLU-00000B,12,OFF,0.9694074074074074,9805.154471963178,9587.9923061191,0.9778522443001759,663.5291746906692,582.5321626361708,0.8779299914095589,0.44808888888888887,0.4444148148148148,0.5249925925925926,SF,DFL-MAT-0002YP
ZO,10,DFL-OBJ-0000ZY,DFL-CLU-00000B,15,OFF,0.9626740740740741,9868.56392380381,9603.432898746865,0.9731337784196314,534.8705551243941,503.3493584786968,0.9410676165593628,0.44808888888888887,0.44452592592592594,0.5181481481481481,SF,DFL-MAT-0002YP
IVL,5,DFL-OBJ-0001UL,DFL-CLU-00000B,16,DEF,0.9745777777777778,9843.083244601916,9586.2695144524,0.9739092189136614,448.0205122547372,399.7161915262159,0.892182792065877,0.44808888888888887,0.44604444444444447,0.5285333333333333,SF,DFL-MAT-0002YP
DMR,4,DFL-OBJ-0002EC,DFL-CLU-00000E,0,MID,0.9807703703703704,9718.060742243626,9576.198905478732,0.9854022483983629,471.07001778433573,437.184669255504,0.928067278218617,0.44808888888888887,0.4471185185185185,0.5336518518518518,SF,DFL-MAT-0002YP
DML,16,DFL-OBJ-00010I,DFL-CLU-00000E,5,MID,0.9748444444444444,10342.193609897671,10138.035892269812,0.9802597277397248,429.4377923539931,377.08030392378555,0.878078992202325,0.44808888888888887,0.4448962962962963,0.5299481481481482,SF,DFL-MAT-0002YP
LV,2,DFL-OBJ-000251,DFL-CLU-00000E,8,DEF,0.9669111111111112,10031.153815925172,9722.408830486274,0.969221388575585,477.16475369816476,431.8749306651955,0.9050855649291779,0.44808888888888887,0.44425185185185184,0.5226592592592593,SF,DFL-MAT-0002YP
TW,1,DFL-OBJ-000170,DFL-CLU-00000E,10,GK,0.46887407407407405,5458.620575635843,2388.571643821382,0.43757788450851454,49.237530207125275,49.237530207125275,1.0,0.44808888888888887,0.1812888888888889,0.28758518518518517,SF,DFL-MAT-0002YP
RM,22,DFL-OBJ-00008L,DFL-CLU-00000E,11,MID,0.9806444444444444,10592.886550773994,10440.176914275553,0.9855837560643673,523.435232491346,496.2807003754609,0.9481224601816729,0.44808888888888887,0.4471259259259259,0.5335185185185185,SF,DFL-MAT-0002YP
IVL,5,DFL-OBJ-00005N,DFL-CLU-00000E,12,DEF,0.9815407407407407,9365.89547701296,9161.334579631075,0.9781589600392246,539.3522407061689,471.23739925016537,0.873709912900665,0.44808888888888887,0.4464518518518519,0.5350888888888888,SF,DFL-MAT-0002YP
IVR,15,DFL-OBJ-0000JL,DFL-CLU-00000E,16,DEF,0.9779037037037037,8625.502577693245,8403.694592542193,0.9742846305878247,329.71661623355993,281.21927572440234,0.8529120519822279,0.44808888888888887,0.4467555555555556,0.5311481481481481,SF,DFL-MAT-0002YP
STL,9,DFL-OBJ-00023O,DFL-CLU-00000E,17,OFF,0.9643333333333334,9146.572203418673,8870.77662738922,0.9698471110383439,683.1798920338426,624.597121576137,0.9142498613603757,0.44808888888888887,0.44324444444444444,0.5210888888888889,SF,DFL-MAT-0002YP
DMZ,4,DFL-OBJ-0002EC,DFL-CLU-00000E,1,MID,0.9894740740740741,11356.042913296667,11230.56851290446,0.9889508694753794,404.1427979434128,367.374388096986,0.9090212419136688,0.611237037037037,0.6080518518518518,0.3814222222222222,SF,DFL-MAT-000303
LV,2,DFL-OBJ-000251,DFL-CLU-00000E,2,DEF,0.9748444444444444,11202.002751760028,11021.976176189328,0.983929072366777,567.1853753401922,532.9597360178151,0.9396570489818273,0.611237037037037,0.602674074074074,0.3721703703703704,SF,DFL-MAT-000303
ZO,16,DFL-OBJ-00010I,DFL-CLU-00000E,7,OFF,0.9901037037037037,11579.068220823256,11487.896831633374,0.9921261894781893,246.53222686969985,235.9706614317853,0.9571594936206994,0.611237037037037,0.6087037037037037,0.3814,SF,DFL-MAT-000303
RV,8,DFL-OBJ-0000IW,DFL-CLU-00000E,8,DEF,0.954237037037037,11038.869007919675,10741.653329862329,0.9730755317556433,284.97984091353345,241.29106389131317,0.8466952017301602,0.611237037037037,0.5964962962962963,0.35774074074074075,SF,DFL-MAT-000303
STR,9,DFL-OBJ-00023O,DFL-CLU-00000E,11,OFF,0.9847851851851852,10480.75274265082,10270.724705230066,0.9799605960966852,817.2955256672085,695.6159354169397,0.8511192262420203,0.611237037037037,0.6061925925925926,0.3785925925925926,SF,DFL-MAT-000303
RM,22,DFL-OBJ-00008L,DFL-CLU-00000E,12,MID,0.9915111111111111,12144.921605217332,12080.32954315863,0.9946815579253345,317.4029367354955,317.4029367354955,1.0,0.611237037037037,0.6091703703703704,0.38234074074074076,SF,DFL-MAT-000303
TW,1,DFL-OBJ-000170,DFL-CLU-00000E,13,GK,0.33354814814814815,5911.48138785111,2158.267117985667,0.36509750710222927,62.30735206422313,30.35424810789191,0.48716960522739516,0.611237037037037,0.20476296296296295,0.1287851851851852,SF,DFL-MAT-000303
IVR,15,DFL-OBJ-0000JL,DFL-CLU-00000E,17,DEF,0.9882,9629.674796178955,9518.334692452067,0.9884378126900953,254.96194290123324,221.23283655250108,0.8677092511732306,0.611237037037037,0.6085407407407407,0.37965925925925925,SF,DFL-MAT-000303
IVR,19,DFL-OBJ-0000F3,DFL-CLU-000008,1,DEF,0.9859185185185185,9820.087023052016,9656.737247853333,0.9833657507499445,244.00004990719725,221.9226659883787,0.9095189368722857,0.611237037037037,0.6092518518518518,0.37666666666666665,SF,DFL-MAT-000303
RV,16,DFL-OBJ-0002DO,DFL-CLU-000008,2,DEF,0.9609703703703704,10928.120208331387,10712.000965387138,0.9802235664666752,566.6834980697347,550.8731886495909,0.972100282655137,0.611237037037037,0.6030518518518518,0.3579185185185185,SF,DFL-MAT-000303
IVL,28,DFL-OBJ-00018X,DFL-CLU-000008,3,DEF,0.9872888888888889,9870.051675984749,9744.946680875433,0.9873247882365486,320.23516825537354,292.6344754780721,0.9138111753069822,0.611237037037037,0.6098296296296296,0.37745925925925927,SF,DFL-MAT-000303
TW,1,DFL-OBJ-0000M0,DFL-CLU-000008,5,GK,0.41785925925925926,4629.595927635013,2101.6141424104426,0.45395195936333754,68.68952077768782,43.53307650516988,0.6337659079914644,0.611237037037037,0.2357037037037037,0.18215555555555554,SF,DFL-MAT-000303
LV,14,DFL-OBJ-00012X,DFL-CLU-000008,8,DEF,0.967837037037037,10981.253566491047,10767.340944981604,0.9805202001561835,254.53865037332776,243.23250928533906,0.9555818298266053,0.611237037037037,0.6072296296296297,0.36060740740740743,SF,DFL-MAT-000303
DML,33,DFL-OBJ-00002C,DFL-CLU-000008,10,MID,0.9890074074074074,11242.839156613758,11145.19082730927,0.9913146200933557,209.59977886256752,162.46246213157713,0.7751079844320931,0.611237037037037,0.6105481481481482,0.3784592592592593,SF,DFL-MAT-000303
DMR,6,DFL-OBJ-000040,DFL-CLU-000008,12,MID,0.9893037037037037,11054.374774223867,10966.103736320058,0.9920148321631328,351.7906041835745,321.5973583172265,0.9141726768501405,0.611237037037037,0.6104518518518518,0.37885185185185183,SF,DFL-MAT-000303
ORM,7,DFL-OBJ-0000RF,DFL-CLU-000008,14,OFF,0.9811111111111112,11479.494182939134,11297.074491868196,0.9841090828425132,532.877862067731,468.78012262213997,0.8797140132696224,0.611237037037037,0.6070740740740741,0.37403703703703706,SF,DFL-MAT-000303
IVR,16,DFL-OBJ-0002E1,DFL-CLU-00000B,1,DEF,0.9858,9932.366312066177,9831.142899827548,0.9898087314685867,302.8983625546107,278.95814538404744,0.9209628702887195,0.5933481481481482,0.5916888888888889,0.39411111111111113,SF,DFL-MAT-000322
DML,27,DFL-OBJ-0000NF,DFL-CLU-00000B,2,MID,0.9786592592592592,10894.629632393771,10770.238922509343,0.9885823828728818,271.9331246905286,230.97056337662946,0.8493653122968514,0.5933481481481482,0.5929481481481481,0.3857111111111111,SF,DFL-MAT-000322
TW,1,DFL-OBJ-0000LF,DFL-CLU-00000B,3,GK,0.18539259259259258,4445.039647015454,963.2276257601575,0.2166971955822487,9.53443603193834,6.883858528928496,0.7219995504578381,0.5933481481481482,0.10096296296296296,0.08442962962962963,SF,DFL-MAT-000322
IVL,5,DFL-OBJ-0001UL,DFL-CLU-00000B,5,DEF,0.9844814814814815,9874.356391300358,9766.377761862852,0.9890647425352563,289.1239323163427,283.5299430315042,0.9806519327541594,0.5933481481481482,0.5929703703703704,0.3915111111111111,SF,DFL-MAT-000322
LV,17,DFL-OBJ-0000JN,DFL-CLU-00000B,9,DEF,0.9729703703703704,11093.405779750377,10957.345449273405,0.987735026268909,513.3237643147204,488.5035719715712,0.9516480746293058,0.5933481481481482,0.5895407407407407,0.3834296296296296,SF,DFL-MAT-000322
RV,13,DFL-OBJ-0001Z9,DFL-CLU-00000B,12,DEF,0.9673851851851852,9920.60205362078,9728.3607544029,0.9806220128396627,451.06503480821266,418.04507471495236,0.9267955670576418,0.5933481481481482,0.5893703703703703,0.3780148148148148,SF,DFL-MAT-000322
OLM,7,DFL-OBJ-0000KR,DFL-CLU-00000B,15,OFF,0.981237037037037,11136.902800743334,11025.686851476004,0.9900137451805806,504.5297483463197,494.8621691993572,0.9808384358332692,0.5933481481481482,0.5910222222222222,0.3902148148148148,SF,DFL-MAT-000322
ORM,38,DFL-OBJ-0000MW,DFL-CLU-00000B,16,OFF,0.9678666666666667,11233.760239303643,11015.804984743121,0.980598192420205,538.8931275525518,524.4772075422536,0.9732490186398,0.5933481481481482,0.5901481481481482,0.3777185185185185,SF,DFL-MAT-000322
DMR,6,DFL-OBJ-000040,DFL-CLU-000008,0,MID,0.9938222222222223,10634.1838716134,10565.1999578125,0.9935130034769245,324.0122689588687,284.8609799118554,0.879167263718698,0.5933481481481482,0.5932296296296297,0.4005925925925926,SF,DFL-MAT-000322
IVL,28,DFL-OBJ-00018X,DFL-CLU-000008,7,DEF,0.9936148148148148,9438.304432865663,9396.828716242162,0.9956055966494283,182.52181165491163,182.52181165491163,1.0,0.5933481481481482,0.5933481481481482,0.40026666666666666,SF,DFL-MAT-000322
LM,14,DFL-OBJ-00012X,DFL-CLU-000008,8,MID,0.9751407407407408,10570.425861059222,10423.359322297722,0.9860869807239002,427.59285664392985,412.5346746946244,0.9647838318266274,0.5933481481481482,0.5915333333333334,0.3836074074074074,SF,DFL-MAT-000322
TW,1,DFL-OBJ-0000M0,DFL-CLU-000008,11,GK,0.4305481481481481,4408.698601242754,1945.1890864413226,0.44121616431048366,29.284199538481268,2.907652684467887,0.0992908370483902,0.5933481481481482,0.24418518518518517,0.18636296296296295,SF,DFL-MAT-000322
DML,33,DFL-OBJ-00002C,DFL-CLU-000008,12,MID,0.9866148148148148,10662.220209594208,10591.992705547844,0.9934134258469759,229.8072364009594,220.31694420104324,0.958703249085865,0.5933481481481482,0.5921555555555555,0.39445925925925923,SF,DFL-MAT-000322
ORM,16,DFL-OBJ-0002DO,DFL-CLU-000008,13,OFF,0.9863037037037037,11470.385328946984,11364.802195513035,0.9907951537454024,358.2601271408345,337.29994304993136,0.941494510544112,0.5933481481481482,0.5915851851851852,0.3947185185185185,SF,DFL-MAT-000322
IVZ,19,DFL-OBJ-0000F3,DFL-CLU-000008,14,DEF,0.9927185185185186,9582.435616299084,9507.657899968093,0.9921963768581132,269.1557546799422,244.46090631188036,0.9082507138016539,0.5933481481481482,0.5929777777777778,0.39974074074074073,SF,DFL-MAT-000322
