match,number,start,end,team,possession,formation_rater1,formation_rater2,formation_rater3,majority,start_seconds,end_seconds,half,predictions_gt,predictions_sf,predictions_tv
Leverkusen - Gladbach,7,00:30:00,01:06:00,Leverkusen,in,4231.0,4231.0,442.0,4231,30,66,firstHalf,"[('343', 0.7211482193602081), ('352', 0.7157383043047053), ('433 (5)', 0.6900281453646273), ('334', 0.6728799002187434), ('4231 (2)', 0.6605445211796453)]","[('343', 0.7284351285333526), ('352', 0.7219278954338969), ('433 (5)', 0.7073657844038872), ('334', 0.688021601711356), ('4231 (2)', 0.669169107730517)]","[('442 (1)', 0.8055998283845999), ('352', 0.803869075285512), ('4321', 0.8001397288382547), ('343', 0.7937299471383774), ('433 (5)', 0.7842718398357356)]"
Leverkusen - Gladbach,11,01:53:00,02:04:00,Gladbach,in,442.0,442.0,442.0,442,113,124,firstHalf,"[('424', 0.9281500950266215), ('4231 (2)', 0.9190788125307863), ('442 (2)', 0.9040633940911974), ('433 (5)', 0.8899465851421928), ('433 (2)', 0.8869680508708501)]","[('424', 0.9281500950266215), ('4231 (2)', 0.9190788125307863), ('442 (2)', 0.9040633940911974), ('433 (5)', 0.8899465851421928), ('433 (2)', 0.8869680508708501)]","[('424', 0.96820979738774), ('4231 (2)', 0.9590755584491382), ('442 (2)', 0.9525015568507063), ('451', 0.9237005378313856), ('4231 (1)', 0.9211566618847771)]"
Leverkusen - Gladbach,15,03:01:00,03:25:00,Leverkusen,in,4231.0,4231.0,442.0,4231,181,205,firstHalf,"[('424', 0.7281033954102284), ('4231 (2)', 0.7269966813194368), ('433 (2)', 0.7073459870501654), ('433 (5)', 0.707197148728881), ('352', 0.7043101072547546)]","[('424', 0.7281033954102284), ('4231 (2)', 0.7269966813194368), ('433 (2)', 0.7073459870501654), ('433 (5)', 0.707197148728881), ('352', 0.7043101072547546)]","[('334', 0.8350602104823993), ('352', 0.8199620424890035), ('4231 (2)', 0.8148576284780038), ('433 (4)', 0.803223489611093), ('433 (2)', 0.802610244008596)]"
Leverkusen - Gladbach,16,03:25:00,03:37:00,Gladbach,in,442.0,442.0,442.0,442,205,217,firstHalf,"[('4231 (1)', 0.90748897268323), ('541', 0.8932777082141324), ('442 (2)', 0.8830570387582044), ('451', 0.8764610491014797), ('532', 0.8754230601997759)]","[('4231 (1)', 0.90748897268323), ('541', 0.8932777082141324), ('442 (2)', 0.8830570387582044), ('451', 0.8764610491014797), ('532', 0.8754230601997759)]","[('532', 0.7779371767113581), ('442 (1)', 0.738710879819561), ('541', 0.7255760848516777), ('4231 (1)', 0.7243785025954801), ('433 (1)', 0.7215080590259632)]"
Leverkusen - Gladbach,29,07:28:00,07:57:00,Leverkusen,in,4231.0,4231.0,442.0,4231,448,477,firstHalf,"[('343', 0.8666028829364063), ('352', 0.8650526202628068), ('433 (5)', 0.8582296373900158), ('442 (1)', 0.8419614913229614), ('4321', 0.8412953215248833)]","[('343', 0.8666028829364063), ('352', 0.8650526202628068), ('433 (5)', 0.8582296373900158), ('442 (1)', 0.8419614913229614), ('4321', 0.8412953215248833)]","[('451', 0.7713566846223635), ('4141', 0.7687695987522648), ('4321', 0.7588123397229762), ('442 (1)', 0.7585990754587296), ('343', 0.7564921067013023)]"
Leverkusen - Gladbach,39,13:09:00,13:32:00,Leverkusen,in,4231.0,4231.0,442.0,4231,789,812,firstHalf,"[('4321', 0.8310611056788273), ('4231 (1)', 0.8257161295184645), ('532', 0.8179321965369152), ('442 (1)', 0.8132368157138036), ('541', 0.8105565705212242)]","[('343', 0.9209188551787268), ('352', 0.8854834190777823), ('4141', 0.8712040612569442), ('334', 0.8606889768724667), ('442 (2)', 0.8539885436808486)]","[('433 (4)', 0.7851752036580737), ('343', 0.7726407130323802), ('352', 0.7572232138483741), ('433 (2)', 0.7486107113210543), ('424', 0.7437529687112491)]"
Leverkusen - Gladbach,52,18:58,19:29,Gladbach,in,442.0,442.0,442.0,442,1138,1169,firstHalf,"[('4231 (1)', 0.9261071185222776), ('424', 0.9225181671576992), ('4231 (2)', 0.9211252335766031), ('442 (2)', 0.9147547342386351), ('433 (1)', 0.9018368628625582)]","[('4231 (1)', 0.9222126816539885), ('424', 0.9165798259637843), ('4231 (2)', 0.9142868279421661), ('442 (2)', 0.9090173932820798), ('433 (1)', 0.8977856832503442)]","[('433 (1)', 0.9148964769102763), ('433 (3)', 0.9086079968109736), ('4231 (1)', 0.9022192962781803), ('343', 0.8912156906561732), ('4231 (2)', 0.8879743719020461)]"
Leverkusen - Gladbach,63,23:01,23:16,Gladbach,in,442.0,442.0,424.0,442,1381,1396,firstHalf,"[('424', 0.9276883551263119), ('4231 (2)', 0.9032879427069442), ('433 (4)', 0.8949501552728772), ('433 (2)', 0.8908886505184613), ('442 (2)', 0.8843068668778988)]","[('424', 0.9276883551263119), ('4231 (2)', 0.9032879427069442), ('433 (4)', 0.8949501552728772), ('433 (2)', 0.8908886505184613), ('442 (2)', 0.8843068668778988)]","[('424', 0.9206987946617536), ('4231 (2)', 0.9010644098966042), ('433 (4)', 0.894537510019158), ('433 (2)', 0.8912722284490397), ('442 (2)', 0.878755170574377)]"
Leverkusen - Gladbach,72,25:00,25:15,Leverkusen,in,4231.0,4231.0,442.0,4231,1500,1515,firstHalf,"[('433 (5)', 0.8587266685189708), ('352', 0.857331128004654), ('424', 0.8524139393751635), ('433 (4)', 0.8521582213744223), ('4231 (2)', 0.8429624406238215)]","[('433 (5)', 0.8587266685189708), ('352', 0.857331128004654), ('424', 0.8524139393751635), ('433 (4)', 0.8521582213744223), ('4231 (2)', 0.8429624406238215)]","[('433 (5)', 0.8751545863882323), ('433 (4)', 0.8714327185275528), ('424', 0.8690604988133104), ('433 (2)', 0.8655116523490436), ('4231 (2)', 0.8574719385779416)]"
Leverkusen - Gladbach,74,25:54,26:12,Leverkusen,in,442.0,352.0,442.0,442,1554,1572,firstHalf,"[('352', 0.8432620244324268), ('4141', 0.8296040610075002), ('4231 (2)', 0.8256098602012302), ('451', 0.8196516900248412), ('334', 0.8157167172753019)]","[('352', 0.8432620244324268), ('4141', 0.8296040610075002), ('4231 (2)', 0.8256098602012302), ('451', 0.8196516900248412), ('334', 0.8157167172753019)]","[('352', 0.9025197777281908), ('451', 0.8960952416831032), ('4141', 0.8944195605056539), ('343', 0.8774187693762256), ('4231 (2)', 0.8713938766241397)]"
